Jurisdiction (State/Territory) or Federal Entity,Total doses distributed,Doses distributed per 100K pop,Doses distributed by jurisdiction per 100K of 18+ pop,Total doses administered by jurisdiction,Doses administered by jurisdiction per 100K pop,Doses administered by jurisdiction to 18+ pop,Doses administered by jurisdiction per 100K of 18+ pop,Residents with at least one dose,Percent of total pop with at least one dose,Residents 18+ with at least one dose,Percent of 18+ pop with at least one dose,Residents with a completed primary series,Percent of total pop with a completed primary series,Residents 18+ with a completed primary series,Percent of 18+ pop with a completed primary series,Total number of original Pfizer doses distributed,Total number of Pfizer updated booster doses distributed,Total number of original Moderna doses distributed,Total number of Moderna updated booster doses distributed,Total number of Janssen doses distributed,Total number of Novavax doses distributed,Total number of doses from other manufacturer distributed,Total number of Janssen doses administered,Total number of original Moderna doses administered,Total number of Moderna updated booster doses administered,Total number of original Pfizer doses administered,Total number of Pfizer updated booster doses administered,Total number of Novavax doses administered,Total number of doses from other manufacturer administered,Residents 65+ with at least one dose,Percent of 65+ pop with at least one dose,Residents 65+ with a completed primary series,Percent of 65+ pop with a completed primary series,Doses administered by jurisdiction to 65+ pop,Doses administered by jurisdiction per 100K of 65+ pop,Doses distributed by jurisdiction per 100K of 65+ pop,Residents 12+ with at least one dose,Percent of 12+ pop with at least one dose,Residents 12+ with a completed primary series,Percent of 12+ pop with a completed primary series,Doses administered by jurisdiction to 12+ pop ,Doses administered by jurisdiction per 100K of 12+ pop,Doses distributed by jurisdiction per 100K of 12+ pop,Residents 5+ with at least one dose,Percent of 5+ pop with at least one dose,Residents 5+ with a completed primary series,Percent of 5+ pop with a completed primary series,Doses administered by jurisdiction to 5+ pop,Doses administered by jurisdiction per 100K of 5+ pop,Doses distributed by jurisdiction per 100K of 5+ pop,Residents with an updated (bivalent) booster dose,Percent of pop with an updated (bivalent) booster dose,Residents 5+ with an updated (bivalent) booster dose,Percent of 5+ pop with an updated (bivalent) booster dose,Residents 12+ with an updated (bivalent) booster dose,Percent of 12+ pop with an updated (bivalent) booster dose,Residents 18+ with an updated (bivalent) booster dose,Percent of 18+ pop with an updated (bivalent) booster dose,Residents 65+ with an updated (bivalent) booster dose,Percent of 65+ pop with an updated (bivalent) booster dose,Children <5 with at least one dose,Total number of updated (bivalent) booster doses administered
United States,942343115,283831,364944,665076272,200319,598135169,231642,268546218,80.9,237131660,91.8,229254623,69.1,203431286,78.8,566920395,70300080,342955820,33615200,31439600,1027300,0,18954913,248998772,17536128,396267682,30933298,70373,784532,58664118,95,51545280,94.1,180515580,329456,1719850,255284027,90,218981523,77.2,638140140,225078,332373,266629659,85.4,228295273,73.1,661383241,211802,301777,48229842,15.4,48229842,15.4,47251809,16.7,45673736,17.7,20891398,38.1,1726051,48469426
Alaska,2070255,282998,375344,1306133,178544,1159854,210285,532458,72.8,465247,84.4,475305,65,417160,75.6,1200635,N/A,778620,N/A,86200,4800,0,46279,500345,N/A,757818,N/A,250,1441,90507,95,81691,89.2,281940,307835,2260400,502736,82.6,451274,74.1,1244860,204452,340012,527735,77.6,472759,69.5,1297564,190688,304241,88387,13,88387,13,86300,14.2,82681,15,34965,38.2,N/A,N/A
Alabama,11918030,243067,312409,6937933,141498,6455650,169223,3179484,64.8,2924356,76.7,2600660,53,2407965,63.1,6384170,N/A,5110060,N/A,402100,21700,0,179706,3004488,N/A,3752273,N/A,624,842,837550,95,722651,85,2212416,260334,1402390,3096517,74,2544916,60.8,6786753,162096,284652,3171001,68.8,2597525,56.4,6921833,150186,258591,319325,6.9,319325,6.9,318668,7.6,312710,8.2,174956,20.6,N/A,N/A
Arkansas,8058700,267039,347710,4814103,159523,4383797,189148,2102856,69.7,1881597,81.2,1711785,56.7,1541375,66.5,4452380,N/A,3318320,N/A,263800,24200,0,126138,2050484,N/A,2629383,N/A,3570,4528,521913,95,439509,83.9,1483620,283197,1538270,2021265,79,1654766,64.7,4663202,182352,315132,2092797,74,1707912,60.4,4797083,169548,284826,291755,10.3,291755,10.3,288588,11.3,281971,12.2,158158,30.2,N/A,N/A
American Samoa,128480,271101,410021,114961,242575,85505,272874,46141,95,32760,95,42436,89.5,29937,95,102380,N/A,25500,N/A,600,0,0,580,25530,N/A,87577,N/A,0,1274,3307,95,2993,91.3,9429,287645,3919460,39545,95,36363,95,102201,276840,348024,46123,95,42436,95,114942,266625,298028,383,0.9,383,0.9,380,1,377,1.2,146,4.5,N/A,N/A
Arizona,19106550,262499,338860,14325594,196815,12803002,227065,5615822,77.2,4891551,86.8,4790236,65.8,4216803,74.8,11363630,N/A,7106920,N/A,618800,17200,0,384446,5525142,N/A,8364135,N/A,1723,50148,1335180,95,1182481,90.4,4360581,333216,1460040,5318671,85.7,4570483,73.6,13731098,221253,307869,5580335,81.5,4776704,69.7,14260544,208216,278971,957108,14,957108,14,939148,15.1,906558,16.1,458884,35.1,N/A,N/A
Bureau of Prisons,407890,N/A,N/A,344415,N/A,344413,N/A,154760,N/A,154758,N/A,140952,N/A,140951,N/A,212370,N/A,179320,N/A,16200,0,0,14831,156068,N/A,173478,N/A,0,38,4194,0,3805,0,11784,0,0,154758,0,140951,0,344413,0,0,154758,0,140951,0,344413,0,0,7607,0,7607,0,7607,0,7607,0,563,0,N/A,N/A
California,116284095,294299,379795,86808719,219701,76906120,251183,33340800,84.4,28891523,94.4,29403167,74.4,25555829,83.5,70897715,N/A,41477580,N/A,3778500,130300,0,2312628,32484540,N/A,51990164,N/A,8715,12672,6024907,95,5414364,92.7,19830535,339674,1991810,31412574,93.4,27824223,82.7,82739633,245910,345608,33031097,89,29221955,78.7,86208312,232189,313194,6882626,18.5,6882626,18.5,6714568,20,6453508,21.1,2481245,42.5,N/A,N/A
Colorado,16916725,293758,375993,12766065,221682,11407989,253555,4800068,83.4,4196176,93.3,4217897,73.2,3711551,82.5,10442985,N/A,5950840,N/A,500700,22200,0,346035,4804321,N/A,7594415,N/A,2361,18933,899405,95,815376,95,3107869,368925,2008130,4523688,91.6,4004262,81.1,12174245,246639,342717,4746970,87.5,4191966,77.2,12657514,233252,311741,1099812,20.3,1099812,20.3,1073805,21.8,1032141,22.9,415982,49.4,N/A,N/A
Connecticut,11464975,321572,404003,8902878,249710,7967919,280773,3640466,95,3201557,95,2952514,82.8,2593046,91.4,6671395,N/A,4432380,N/A,353000,8200,0,252515,3403555,N/A,5244862,N/A,643,1303,816752,95,651773,95,2441183,387339,1819130,3456969,95,2806454,90.4,8533101,274734,369130,3613357,95,2937069,86.8,8850043,261559,338842,798752,23.6,798752,23.6,784920,25.3,758512,26.7,347075,55.1,N/A,N/A
