Geography,Date,Weekly Cases,New Historic Cases
United States,Jan 11 2023,414721,0
United States,Jan  4 2023,477230,0
United States,Dec 28 2022,400893,0
United States,Dec 21 2022,496316,21397
United States,Dec 14 2022,456008,0
United States,Dec  7 2022,472149,0
United States,Nov 30 2022,309367,0
United States,Nov 23 2022,308296,0
United States,Nov 16 2022,281519,0
United States,Nov  9 2022,289965,0
United States,Nov  2 2022,274211,0
United States,Oct 26 2022,262037,0
United States,Oct 19 2022,260471,0
United States,Oct 12 2022,265478,0
United States,Oct  5 2022,320226,0
United States,Sep 28 2022,341914,0
United States,Sep 21 2022,396977,0
United States,Sep 14 2022,470526,0
United States,Sep  7 2022,526228,0
United States,Aug 31 2022,614692,0
United States,Aug 24 2022,652161,0
United States,Aug 17 2022,693250,0
United States,Aug 10 2022,773434,0
United States,Aug  3 2022,837070,0
United States,Jul 27 2022,926395,0
United States,Jul 20 2022,900917,0
United States,Jul 13 2022,865630,0
United States,Jul  6 2022,774938,0
United States,Jun 29 2022,772327,0
United States,Jun 22 2022,683360,0
United States,Jun 15 2022,727445,0
United States,Jun  8 2022,759591,0
United States,Jun  1 2022,714420,0
United States,May 25 2022,765677,0
United States,May 18 2022,710887,0
United States,May 11 2022,589434,0
United States,May  4 2022,455784,0
United States,Apr 27 2022,369939,0
United States,Apr 20 2022,296859,0
United States,Apr 13 2022,229298,0
United States,Apr  6 2022,195803,0
United States,Mar 30 2022,193954,0
United States,Mar 23 2022,194327,0
United States,Mar 16 2022,213738,0
United States,Mar  9 2022,270911,0
United States,Mar  2 2022,370796,0
United States,Feb 23 2022,550811,0
United States,Feb 16 2022,929939,0
United States,Feb  9 2022,1495325,0
United States,Feb  2 2022,2719203,0
United States,Jan 26 2022,4433180,0
United States,Jan 19 2022,5629879,0
United States,Jan 12 2022,5488616,0
United States,Jan  5 2022,4090576,0
United States,Dec 29 2021,2106047,0
United States,Dec 22 2021,1146387,0
United States,Dec 15 2021,841866,0
United States,Dec  8 2021,847056,0
United States,Dec  1 2021,613402,0
United States,Nov 24 2021,673008,0
United States,Nov 17 2021,614637,0
United States,Nov 10 2021,535504,0
United States,Nov  3 2021,502941,0
United States,Oct 27 2021,503013,0
United States,Oct 20 2021,532211,0
United States,Oct 13 2021,619404,0
United States,Oct  6 2021,704713,0
United States,Sep 29 2021,799776,0
United States,Sep 22 2021,921571,0
United States,Sep 15 2021,1085552,0
United States,Sep  8 2021,1068507,0
United States,Sep  1 2021,1175796,0
United States,Aug 25 2021,1009556,0
United States,Aug 18 2021,999732,0
United States,Aug 11 2021,901956,0
United States,Aug  4 2021,670444,0
United States,Jul 28 2021,453226,0
United States,Jul 21 2021,287808,0
United States,Jul 14 2021,178299,0
United States,Jul  7 2021,109573,0
United States,Jun 30 2021,93911,0
United States,Jun 23 2021,82259,0
United States,Jun 16 2021,87500,0
United States,Jun  9 2021,100670,0
United States,Jun  2 2021,113245,0
United States,May 26 2021,162544,0
United States,May 19 2021,210714,0
United States,May 12 2021,255296,0
United States,May  5 2021,327509,0
United States,Apr 28 2021,370540,0
United States,Apr 21 2021,446271,0
United States,Apr 14 2021,496753,0
United States,Apr  7 2021,457274,0
United States,Mar 31 2021,447010,0
United States,Mar 24 2021,401926,0
United States,Mar 17 2021,382975,0
United States,Mar 10 2021,392647,0
United States,Mar  3 2021,444637,0
United States,Feb 24 2021,476320,0
United States,Feb 17 2021,539811,0
United States,Feb 10 2021,728907,0
United States,Feb  3 2021,956866,0
United States,Jan 27 2021,1142776,0
United States,Jan 20 2021,1381745,0
United States,Jan 13 2021,1714380,0
United States,Jan  6 2021,1602891,0
United States,Dec 30 2020,1302212,0
United States,Dec 23 2020,1504389,0
United States,Dec 16 2020,1534154,0
United States,Dec  9 2020,1487871,0
United States,Dec  2 2020,1174196,0
United States,Nov 25 2020,1254795,0
United States,Nov 18 2020,1139501,0
United States,Nov 11 2020,906963,0
United States,Nov  4 2020,694763,0
United States,Oct 28 2020,523615,0
United States,Oct 21 2020,430669,0
United States,Oct 14 2020,369065,0
United States,Oct  7 2020,316329,0
United States,Sep 30 2020,296192,0
United States,Sep 23 2020,305490,0
United States,Sep 16 2020,269858,0
United States,Sep  9 2020,255329,0
United States,Sep  2 2020,289609,0
United States,Aug 26 2020,296027,0
United States,Aug 19 2020,331060,0
United States,Aug 12 2020,378051,0
United States,Aug  5 2020,399296,0
United States,Jul 29 2020,452225,0
United States,Jul 22 2020,466693,0
United States,Jul 15 2020,440094,0
United States,Jul  8 2020,368417,0
United States,Jul  1 2020,310619,0
United States,Jun 24 2020,218878,0
United States,Jun 17 2020,158560,0
United States,Jun 10 2020,143008,0
United States,Jun  3 2020,145910,0
United States,May 27 2020,146283,0
United States,May 20 2020,157874,0
United States,May 13 2020,160066,0
United States,May  6 2020,188873,0
United States,Apr 29 2020,198046,0
United States,Apr 22 2020,198456,0
United States,Apr 15 2020,206682,0
United States,Apr  8 2020,219473,0
United States,Apr  1 2020,153953,0
United States,Mar 25 2020,59548,0
United States,Mar 18 2020,7962,0
United States,Mar 11 2020,1136,0
United States,Mar  4 2020,111,0
United States,Feb 26 2020,24,0
United States,Feb 19 2020,15,0
United States,Feb 12 2020,10,0
United States,Feb  5 2020,10,0
United States,Jan 29 2020,6,0
